F1,F2,F3,F4,TARGET,X,Y
49,12,35,34,3,127,68
35,12,34,35,3,126,160
63,18,34,30,3,14,54
4.34E-19,3,30,34,3,24,176
31,9,35,35,3,-6,-86
49,15,32,36,3,-154,178
57,15,33,53,3,164,78
53,24,32,40,3,-129,137
36,27,34,44,3,168,165
42,18,30,33,3,-168,178
27,21,23,40,3,129,170
41,21,30,39,3,171,175
46,3,25,32,3,173,-161
56,15,25,39,3,175,-158
43,12,34,35,3,144,116
50,24,34,38,3,172,158
50,18,34,30,3,138,159
57,18,37,47,3,173,-33
41,18,34,36,3,-134,-53
14,18,34,34,3,-119,-2
32,18,35,41,3,-157,-65
100,9,32,33,3,-165,-123
100,3,7,3,3,-141,-130
47,3,7,5,3,-142,-137
26,0.1875,4,5,3,-144,-132
