F1,F2,F3,F4,X,Y,TARGET
50,7,1.69E-20,8.67E-19,-156,165,3
46,2,1.99E-23,1.69E-21,-161,7,3
42,4,1.29E-26,3.31E-24,-157,24,3
39,4,1.29E-26,4,-167,-57,3
50,4,2.12E-22,5,160,164,3
50,7,1.32E-23,1.14E-13,129,151,3
53,2,1.49E-08,2.38E-06,152,146,3
50,4,3.25E-19,2,167,176,3
35,2,8.67E-18,2.22E-16,168,-111,3
53,7,3.79E-19,1.04E-16,166,173,3
46,9,1.55E-25,9,38,176,3
53,7,1.59E-22,6,173,174,3
50,7,1.59E-22,4,174,176,3
32,7,7.94E-23,6,157,165,3
42,7,1.08E-19,9,168,170,3
32,7,1.99E-23,19,166,169,3
39,7,9.26E-23,11,164,79,3
39,7,1.29E-26,10,-125,-122,3
39,7,6.51E-19,10,155,-108,3
46,9,2.44E-21,1,-170,-144,3
46,9,1.65E-24,6,164,159,3
46,9,1.69E-20,3,-152,172,3
53,11,2.65E-23,9,-166,171,3
50,4,1.44E-20,3,25,78,3
35,7,3.39E-21,1.41E-18,98,-7,3
14,7,1.06E-22,6.78E-21,168,33,3
35,9,1.65E-24,8,-134,149,3
42,7,4.07E-20,3,-136,-45,3
35,7,6.78E-21,2,7,-87,3
35,9,1.69E-20,8,-78,174,3
39,7,1.02E-20,5,52,157,3
46,9,3.81E-21,9,-21,61,3
32,7,7.44E-24,14,87,102,3
35,7,7.22E-16,2,87,125,3
28,7,1.03E-25,14,-148,-120,3
39,7,2.33E-15,6,171,-45,3
39,2,1.53E-05,0.03125,-165,-150,3
35,7,1.42E-14,2.98E-08,-163,-140,3
35,9,4.07E-20,6.94E-18,-143,-91,3
39,9,5.20E-18,8.88E-16,-147,-130,3
42,7,8.05E-21,2.03E-19,-73,-147,3
42,7,2.54E-21,2.98E-19,-157,-74,3
46,7,7.28E-23,2.54E-20,-144,-142,3
46,2,9.31E-10,5.22E-08,157,-157,3
46,7,1.25E-12,1.82E-12,137,-21,3
46,9,2.91E-22,6,172,-122,3
46,9,1.03E-24,1.46E-22,-42,-154,3
42,4,3.18E-22,15,172,-125,3
35,7,2.54E-21,9,175,-135,3
39,4,3.33E-16,3,168,-160,3
42,9,3.39E-20,1.73E-18,127,68,3
39,7,6.78E-21,12,126,160,3
46,9,1.02E-20,9.09E-13,14,54,3
42,7,1.63E-19,3,24,176,3
42,7,4.07E-20,4,-6,-86,3
42,7,9.49E-20,4.55E-13,-154,178,3
46,7,9.09E-12,6.98E-10,164,78,3
46,9,1.67E-16,1.78E-14,-129,137,3
46,7,1.69E-20,2.60E-18,168,165,3
42,9,6.10E-20,4,-168,178,3
42,9,1.69E-21,2.17E-19,129,170,3
50,4,2.84E-13,8.64E-12,171,175,3
46,1,0.001464844,0.022460938,173,-161,3
50,7,2.78E-17,1.86E-09,175,-158,3
50,7,1.71E-13,2.96E-12,144,116,3
46,9,1.33E-15,1.71E-13,172,158,3
42,9,7.75E-26,1.65E-24,138,159,3
50,7,1.62E-27,11,173,-33,3
46,9,1.27E-21,1.36E-12,-134,-53,3
46,7,3.39E-21,4.88E-19,-119,-2,3
46,7,2.54E-21,4,-157,-65,3
50,7,4.44E-15,1.46E-11,-165,-123,3
50,7,3.47E-18,1.39E-17,-141,-130,3
46,9,3.81E-21,1.08E-18,-142,-137,3
42,4,4.74E-20,1.30E-18,-144,-132,3
46,9,3.97E-23,1.52E-20,-134,-129,3
32,7,1.59E-21,1.22E-19,-141,-140,3
42,4,1.82E-27,2.58E-26,-147,-143,3
39,9,3.18E-22,4,-147,-122,3
39,7,3.39E-21,2,-143,-140,3
42,9,1.36E-20,4.77E-07,-143,-140,3
39,9,1.29E-26,6.62E-24,-130,-127,3
39,7,2.58E-26,4.96E-24,-134,-129,3
42,2,5.29E-23,2,-149,-144,3
10,5,4.24E-22,11,-141,139,5
25,11,1,31,-119,128,5
15,5,2.65E-22,20,-91,123,5
20,16,4,23,-82,118,5
25,11,3,17,-94,126,5
15,0.625,3.25E-18,12,-118,130,5
25,11,11,19,-87,124,5
15,11,10,18,-86,122,5
25,11,6,18,-108,127,5
15,11,1.36E-19,11,-111,129,5
5,5,6.66E-16,11,-60,123,5
35,16,6,17,-69,116,5
35,22,23,31,-69,124,5
25,8,11,21,-107,130,5
40,16,2,14,-93,127,5
30,16,7,16,-76,120,5
35,16,1,13,-61,119,5
3.125,11,9,38,-82,130,5
25,16,10,26,-49,110,5
55,22,23,29,-78,124,5
45,16,10,18,-79,124,5
25,16,14,19,-39,119,5
40,16,9,11,-116,132,5
0.078125,16,8,11,-101,131,5
40,22,14,22,-138,138,5
45,22,28,31,-124,133,5
45,22,20,21,-34,124,5
45,22,20,19,-116,133,5
30,16,11,25,-137,140,5
45,22,8,22,-116,130,5
35,16,16,11,-104,126,5
40,22,13,22,-86,125,5
45,22,13,27,-116,128,5
40,22,11,28,-88,123,5
30,11,1.65E-23,20,-121,132,5
20,16,2,24,-140,136,5
35,22,2,20,-108,132,5
40,16,7,25,-118,134,5
30,22,19,22,-127,134,5
4.17E-06,5,11,29,-130,135,5
45,16,15,21,-129,134,5
65,27,30,47,-112,132,5
55,16,11,25,-135,138,5
45,22,16,22,-115,132,5
55,11,17,37,-143,138,5
50,22,15,18,-122,132,5
55,22,20,21,-130,134,5
55,22,19,26,-94,126,5
55,16,14,14,-113,127,5
60,16,16,21,-100,128,5
45,16,7,10,-107,129,5
60,16,9,15,-78,126,5
50,22,18,20,-110,130,5
50,22,18,22,-106,130,5
60,22,15,20,-121,133,5
55,16,4,10,-148,140,5
40,16,2,4,-155,143,5
50,16,5,17,-146,139,5
60,16,10,25,-109,130,5
40,22,11,11,-116,129,5
45,16,4,11,-139,136,5
30,16,18,21,-141,139,5
40,16,6,25,-79,125,5
40,22,9,35,-129,134,5
50,27,11,38,-68,123,5
45,11,1.24E-14,12,-115,129,5
50,27,23,36,-89,124,5
25,5,3,2,-119,128,5
40,22,20,22,-91,123,5
45,22,28,22,-82,118,5
35,16,11,6,-94,126,5
50,22,9,22,-118,130,5
45,22,20,16,-84,120,5
12,10,1.11E-16,15,-106,128,5
0.046875,13,2,26,-87,124,5
25,13,9,20,-86,122,5
