F1,F2,F3,F4,X,Y,TARGET
22,3.10E-25,29,20,-155,-140,3
34,8.27E-24,23,25,-142,-138,3
72,9.26E-23,29,27,-132,-124,3
11,3,31,31,-143,-140,3
24,8.73E-11,31,18,-129,-128,3
53,4.24E-21,28,21,-126,-122,3
20,1.24E-24,23,16,-131,-125,3
10,3.10E-25,21,16,-138,-129,3
18,5.17E-25,29,27,-139,-136,3
24,1.81E-25,28,30,-138,-135,3
11,4.85E-27,28,23,-128,-126,3
7,3,29,34,-155,-153,3
20,6.78E-20,29,33,-154,-138,3
21,1.59E-22,23,31,-143,-138,3
14,1.81E-25,28,32,-159,-150,3
17,3.31E-23,29,31,-147,-135,3
18,2.26E-26,26,35,-153,-150,3
8,6.98E-10,20,29,-149,-151,3
3,0.09375,25,33,-155,-148,3
6,3,29,27,-152,-145,3
3,1.24E-24,32,33,-146,-141,3
0.25,3,25,36,-155,-150,3
0.000976563,0.1875,26,37,-154,-150,3
57,3.71E-22,32,35,-148,-136,3
8,6.35E-22,18,26,-150,-143,3
5,1.45E-24,25,40,-154,-146,3
15,5.08E-21,20,33,-149,-129,3
17,7.75E-26,18,10,-132,-121,3
34,1.24E-14,25,36,-139,-24,3
42,3.79E-19,28,43,-150,-135,3
38,4.85E-27,28,9,-122,-119,3
41,2.32E-23,23,9,-122,-113,3
13,2.03E-20,23,30,-140,-129,3
7,1.30E-18,28,26,-120,-115,3
42,1.11E-15,18,7,-127,-98,3
0.03125,1.5,26,26,-120,-110,3
8,2.60E-18,26,27,-132,-120,3
28,5.33E-15,26,24,-131,-98,3
14,4.74E-20,25,21,-82,-94,3
2,5.08E-21,25,27,-111,-115,3
7,8.13E-20,23,17,-121,-119,3
0.0078125,14,40,41,-158,-145,3
47,8.13E-20,28,15,-122,-116,3
10,2.54E-21,10,12,-144,-147,3
14,7,9,12,-133,-130,3
28,2.58E-25,15,13,-113,-112,3
30,0.09375,17,14,-117,-111,3
40,3,18,15,-117,-112,3
10,3,17,20,-151,-155,3
27,3,20,21,-139,-135,3
11,9.69E-27,10,6,-127,-121,3
19,3,12,11,-104,-107,3
27,4.04E-27,25,14,-144,-136,3
12,6.20E-25,26,22,-160,-151,3
25,6.06E-28,28,14,-140,-139,3
25,7.75E-26,31,28,-131,-127,3
17,0.75,23,23,-158,-155,3
7,1.5,25,33,-146,-146,3
2,3,34,39,-149,-145,3
24,3,29,32,-149,-141,3
19,9.69E-27,25,11,-108,-103,3
54,1.59E-22,29,17,-128,-118,3
86,8.33E-17,25,10,-101,-104,3
5,1.27E-21,21,23,-97,-103,3
67,56,48,84,9,96,4
62,62,60,83,6,94,4
55,60,61,83,13,96,4
58,60,56,77,19,90,4
63,64,61,85,21,65,4
52,58,56,80,8,91,4
56,58,56,95,10,82,4
63,62,61,78,10,83,4
64,64,62,83,10,79,4
57,58,61,65,11,85,4
55,60,62,85,8,77,4
56,66,67,92,8,70,4
66,60,65,78,11,77,4
52,58,57,78,7,84,4
59,58,62,67,9,84,4
62,62,59,76,11,78,4
68,62,59,88,7,80,4
66,60,59,84,19,67,4
68,54,53,73,25,75,4
64,56,53,84,9,92,4
68,58,54,69,10,84,4
63,58,54,85,9,85,4
59,64,57,84,19,68,4
63,62,63,93,22,69,4
60,64,63,86,17,69,4
62,66,62,92,19,70,4
55,54,56,89,15,81,4
59,68,64,68,20,85,4
62,64,62,64,17,85,4
65,64,63,92,15,76,4
64,60,57,85,14,79,4
58,58,55,62,15,89,4
55,62,57,78,20,87,4
59,66,65,80,20,82,4
60,64,67,96,14,66,4
54,62,56,80,15,75,4
64,62,53,64,13,89,4
66,60,55,76,14,81,4
52,56,56,81,16,84,4
60,56,56,76,12,93,4
